Name	N	Accuracy
dx1anycorrect	16	0.8125
dx2anycorrect	12	1
dx3anycorrect	15	1
dx4anycorrect	12	0.8333333
dx5anycorrect	16	1
dx6anycorrect	16	1
dx7anycorrect	16	0.75
dx8anycorrect	12	1
dx9anycorrect	16	1
dx10anycorrect	16	0.9375
dx11anycorrect	16	1
dx12anycorrect	16	1
dx13anycorrect	16	1
dx14anycorrect	16	1
dx15anycorrect	16	1
dx16anycorrect	16	1
dx17anycorrect	12	1
dx18anycorrect	15	0.5333333
dx19anycorrect	15	1
dx20anycorrect	15	1
dx21anycorrect	15	1
dx22anycorrect	12	0.5
dx23anycorrect	12	1
dx24anycorrect	12	1
dx25anycorrect	12	0.9166667
dx26anycorrect	16	1
dx27anycorrect	12	0.9166667
dx28anycorrect	12	1
dx29anycorrect	16	1
dx30anycorrect	12	1
dx31anycorrect	12	1
dx32anycorrect	15	1
dx33anycorrect	12	1
dx34anycorrect	12	1
dx35anycorrect	12	1
dx36anycorrect	12	1
dx37anycorrect	12	0.8333333
dx38anycorrect	12	1
dx39anycorrect	16	1
dx40anycorrect	12	1
dx41anycorrect	16	1
dx42anycorrect	12	1
dx43anycorrect	12	0.9166667
dx44anycorrect	12	1
dx45anycorrect	16	1
dx46anycorrect	12	1
dx47anycorrect	16	0.9375
dx48anycorrect	12	1
