Name	N	Accuracy
triage1topdown	16	1
triage2topdown	12	1
triage3topdown	15	1
triage4topdown	12	1
triage5topdown	16	1
triage6topdown	16	1
triage7topdown	16	0.875
triage8topdown	12	1
triage9topdown	16	1
triage10topdown	16	1
triage11topdown	16	1
triage12topdown	16	1
triage13topdown	16	0.9375
triage14topdown	16	0.875
triage15topdown	16	0.75
triage16topdown	16	0.9375
triage17topdown	12	1
triage18topdown	15	1
triage19topdown	15	0.9333333
triage20topdown	15	1
triage21topdown	15	0.8
triage22topdown	12	1
triage23topdown	12	0.6666667
triage24topdown	12	1
triage25topdown	12	1
triage26topdown	16	0.8125
triage27topdown	12	0.9166667
triage28topdown	12	0.8333333
triage29topdown	16	0.5625
triage30topdown	12	1
triage31topdown	12	1
triage32topdown	15	0.9333333
triage33topdown	12	1
triage34topdown	12	0.0833333
triage35topdown	12	0.9166667
triage36topdown	12	1
triage37topdown	12	1
triage38topdown	12	0.9166667
triage39topdown	16	0.9375
triage40topdown	12	1
triage41topdown	16	1
triage42topdown	12	1
triage43topdown	12	1
triage44topdown	12	0.75
triage45topdown	16	1
triage46topdown	12	0.9166667
triage47topdown	16	0.625
triage48topdown	12	0.8333333
