Name	N	Accuracy
dx1precorrect	107	0.2149533
dx1anyprecorrect	107	0.3551402
dx1postcorrect	107	0.1588785
dx1anypostcorrect	107	0.3551402
dx2precorrect	104	0.4134615
dx2anyprecorrect	104	0.5961538
dx2postcorrect	104	0.3653846
dx2anypostcorrect	104	0.5288462
dx3precorrect	130	0.6
dx3anyprecorrect	130	0.7076923
dx3postcorrect	130	0.5692308
dx3anypostcorrect	130	0.7
dx4precorrect	104	0.0480769
dx4anyprecorrect	104	0.1346154
dx4postcorrect	104	0.0673077
dx4anypostcorrect	104	0.1538462
dx5precorrect	106	0.1698113
dx5anyprecorrect	106	0.3207547
dx5postcorrect	106	0.2735849
dx5anypostcorrect	106	0.4150943
dx6precorrect	102	0.2058824
dx6anyprecorrect	102	0.3627451
dx6postcorrect	102	0.1862745
dx6anypostcorrect	102	0.3529412
dx7precorrect	99	0
dx7anyprecorrect	99	0
dx7postcorrect	99	0.0909091
dx7anypostcorrect	99	0.1414141
dx8precorrect	105	0.6666667
dx8anyprecorrect	105	0.847619
dx8postcorrect	105	0.7047619
dx8anypostcorrect	105	0.847619
dx9precorrect	105	0.352381
dx9anyprecorrect	105	0.4
dx9postcorrect	105	0.4
dx9anypostcorrect	105	0.4571429
dx10precorrect	102	0.1862745
dx10anyprecorrect	102	0.3921569
dx10postcorrect	102	0.1666667
dx10anypostcorrect	102	0.3921569
dx11precorrect	104	0.25
dx11anyprecorrect	104	0.4326923
dx11postcorrect	104	0.2596154
dx11anypostcorrect	104	0.4423077
dx12precorrect	102	0.0980392
dx12anyprecorrect	102	0.2058824
dx12postcorrect	102	0.2745098
dx12anypostcorrect	102	0.3627451
dx13precorrect	99	0.0707071
dx13anyprecorrect	99	0.0909091
dx13postcorrect	99	0.1313131
dx13anypostcorrect	99	0.2020202
dx14precorrect	106	0.6415094
dx14anyprecorrect	106	0.7075472
dx14postcorrect	106	0.6698113
dx14anypostcorrect	106	0.7641509
dx15precorrect	105	0.2190476
dx15anyprecorrect	105	0.4285714
dx15postcorrect	105	0.1809524
dx15anypostcorrect	105	0.4095238
dx16precorrect	102	0.2647059
dx16anyprecorrect	102	0.4117647
dx16postcorrect	102	0.2254902
dx16anypostcorrect	102	0.3921569
dx17precorrect	104	0.2692308
dx17anyprecorrect	104	0.3942308
dx17postcorrect	104	0.2307692
dx17anypostcorrect	104	0.4134615
dx18precorrect	107	0
dx18anyprecorrect	107	0
dx18postcorrect	107	0
dx18anypostcorrect	107	0
dx19precorrect	96	0.1770833
dx19anyprecorrect	96	0.3645833
dx19postcorrect	96	0.2291667
dx19anypostcorrect	96	0.3854167
dx20precorrect	102	0.2352941
dx20anyprecorrect	102	0.4803922
dx20postcorrect	102	0.2647059
dx20anypostcorrect	102	0.5686275
dx21precorrect	100	0.13
dx21anyprecorrect	100	0.3
dx21postcorrect	100	0.15
dx21anypostcorrect	100	0.39
dx22precorrect	93	0.1397849
dx22anyprecorrect	93	0.3010753
dx22postcorrect	93	0.1935484
dx22anypostcorrect	93	0.3225806
dx23precorrect	103	0.2912621
dx23anyprecorrect	103	0.3203883
dx23postcorrect	103	0.3203883
dx23anypostcorrect	103	0.3592233
dx24precorrect	100	0.58
dx24anyprecorrect	100	0.77
dx24postcorrect	100	0.67
dx24anypostcorrect	100	0.79
dx25precorrect	103	0.4660194
dx25anyprecorrect	103	0.5728155
dx25postcorrect	103	0.5339806
dx25anypostcorrect	103	0.6504854
dx26precorrect	99	0.4949495
dx26anyprecorrect	99	0.6060606
dx26postcorrect	99	0.5555556
dx26anypostcorrect	99	0.6969697
dx27precorrect	102	0.3137255
dx27anyprecorrect	102	0.4313725
dx27postcorrect	102	0.2941176
dx27anypostcorrect	102	0.372549
dx28precorrect	102	0.2843137
dx28anyprecorrect	102	0.372549
dx28postcorrect	102	0.4019608
dx28anypostcorrect	102	0.5
dx29precorrect	105	0.552381
dx29anyprecorrect	105	0.6190476
dx29postcorrect	105	0.7333333
dx29anypostcorrect	105	0.7904762
dx30precorrect	101	0.2673267
dx30anyprecorrect	101	0.4851485
dx30postcorrect	101	0.3267327
dx30anypostcorrect	101	0.5148515
dx31precorrect	108	0.4814815
dx31anyprecorrect	108	0.6018519
dx31postcorrect	108	0.462963
dx31anypostcorrect	108	0.6296296
dx32precorrect	108	0.6018519
dx32anyprecorrect	108	0.8240741
dx32postcorrect	108	0.4907407
dx32anypostcorrect	108	0.8055556
dx33precorrect	104	0.5
dx33anyprecorrect	104	0.5961538
dx33postcorrect	104	0.5384615
dx33anypostcorrect	104	0.6538462
dx34precorrect	106	0.1698113
dx34anyprecorrect	106	0.2264151
dx34postcorrect	106	0.2169811
dx34anypostcorrect	106	0.3018868
dx35precorrect	105	0.247619
dx35anyprecorrect	105	0.2666667
dx35postcorrect	105	0.4285714
dx35anypostcorrect	105	0.5142857
dx36precorrect	108	0.537037
dx36anyprecorrect	108	0.7222222
dx36postcorrect	108	0.5092593
dx36anypostcorrect	108	0.6666667
dx37precorrect	101	0.4257426
dx37anyprecorrect	101	0.7920792
dx37postcorrect	101	0.5346535
dx37anypostcorrect	101	0.8118812
dx38precorrect	106	0.5660377
dx38anyprecorrect	106	0.7641509
dx38postcorrect	106	0.490566
dx38anypostcorrect	106	0.7075472
dx39precorrect	105	0.5238095
dx39anyprecorrect	105	0.752381
dx39postcorrect	105	0.5047619
dx39anypostcorrect	105	0.8095238
dx40precorrect	103	0.8252427
dx40anyprecorrect	103	0.9223301
dx40postcorrect	103	0.7961165
dx40anypostcorrect	103	0.9029126
dx41precorrect	112	0.5535714
dx41anyprecorrect	112	0.6517857
dx41postcorrect	112	0.5
dx41anypostcorrect	112	0.6428571
dx42precorrect	104	0.7884615
dx42anyprecorrect	104	0.8461538
dx42postcorrect	104	0.7403846
dx42anypostcorrect	104	0.8365385
dx43precorrect	101	0.1089109
dx43anyprecorrect	101	0.1881188
dx43postcorrect	101	0.3267327
dx43anypostcorrect	101	0.4950495
dx44precorrect	106	0.5471698
dx44anyprecorrect	106	0.5943396
dx44postcorrect	106	0.5471698
dx44anypostcorrect	106	0.6698113
dx45precorrect	105	0.3428571
dx45anyprecorrect	105	0.5238095
dx45postcorrect	105	0.4095238
dx45anypostcorrect	105	0.5904762
dx46precorrect	104	0.2307692
dx46anyprecorrect	104	0.3653846
dx46postcorrect	104	0.375
dx46anypostcorrect	104	0.4519231
dx47precorrect	106	0.6132075
dx47anyprecorrect	106	0.8018868
dx47postcorrect	106	0.5943396
dx47anypostcorrect	106	0.8113208
dx48precorrect	109	0.7981651
dx48anyprecorrect	109	0.8715596
dx48postcorrect	109	0.7155963
dx48anypostcorrect	109	0.8073394
