Name	N	Accuracy
pretriage1topdown	107	0.8411215
pretriage2topdown	104	0.9038462
pretriage3topdown	130	0.9461538
pretriage4topdown	104	0.8461538
pretriage5topdown	106	0.8301887
pretriage6topdown	102	0.9117647
pretriage7topdown	99	0.7878788
pretriage8topdown	105	0.9428571
pretriage9topdown	105	0.847619
pretriage10topdown	102	0.872549
pretriage11topdown	104	0.8076923
pretriage12topdown	102	0.8823529
pretriage13topdown	99	0.8383838
pretriage14topdown	106	0.8584906
pretriage15topdown	105	0.847619
pretriage16topdown	102	0.8137255
pretriage17topdown	104	0.8653846
pretriage18topdown	107	0.8504673
pretriage19topdown	96	0.8854167
pretriage20topdown	102	0.745098
pretriage21topdown	100	0.73
pretriage22topdown	93	0.8064516
pretriage23topdown	103	0.8737864
pretriage24topdown	100	0.63
pretriage25topdown	103	0.7572816
pretriage26topdown	99	0.3535354
pretriage27topdown	102	0.5392157
pretriage28topdown	102	0.5392157
pretriage29topdown	105	0.5428571
pretriage30topdown	101	0.5346535
pretriage31topdown	108	0.8055556
pretriage32topdown	108	0.7592593
pretriage33topdown	104	0.8269231
pretriage34topdown	106	0.2169811
pretriage35topdown	105	0.6857143
pretriage36topdown	108	0.6666667
pretriage37topdown	101	0.8217822
pretriage38topdown	106	0.4339623
pretriage39topdown	105	0.8095238
pretriage40topdown	103	0.8543689
pretriage41topdown	112	0.7678571
pretriage42topdown	104	0.75
pretriage43topdown	101	0.7227723
pretriage44topdown	106	0.6037736
pretriage45topdown	105	0.8190476
pretriage46topdown	104	0.5480769
pretriage47topdown	106	0.4811321
pretriage48topdown	109	0.706422
posttriage1topdown	107	0.8785047
posttriage2topdown	104	0.875
posttriage3topdown	130	0.9153846
posttriage4topdown	104	0.8076923
posttriage5topdown	106	0.8679245
posttriage6topdown	102	0.9509804
posttriage7topdown	99	0.7777778
posttriage8topdown	105	0.952381
posttriage9topdown	105	0.7904762
posttriage10topdown	102	0.8823529
posttriage11topdown	104	0.8557692
posttriage12topdown	102	0.9019608
posttriage13topdown	99	0.7676768
posttriage14topdown	106	0.7830189
posttriage15topdown	105	0.847619
posttriage16topdown	102	0.8529412
posttriage17topdown	104	0.8557692
posttriage18topdown	107	0.8224299
posttriage19topdown	96	0.9166667
posttriage20topdown	102	0.7941176
posttriage21topdown	100	0.66
posttriage22topdown	93	0.7311828
posttriage23topdown	103	0.8446602
posttriage24topdown	100	0.66
posttriage25topdown	103	0.7864078
posttriage26topdown	99	0.4343434
posttriage27topdown	102	0.5
posttriage28topdown	102	0.6078431
posttriage29topdown	105	0.4761905
posttriage30topdown	101	0.6039604
posttriage31topdown	108	0.75
posttriage32topdown	108	0.75
posttriage33topdown	104	0.8461538
posttriage34topdown	106	0.1981132
posttriage35topdown	105	0.6285714
posttriage36topdown	108	0.6481481
posttriage37topdown	101	0.8217822
posttriage38topdown	106	0.4433962
posttriage39topdown	105	0.8
posttriage40topdown	103	0.8834951
posttriage41topdown	112	0.7321429
posttriage42topdown	104	0.8269231
posttriage43topdown	101	0.7029703
posttriage44topdown	106	0.6320755
posttriage45topdown	105	0.7428571
posttriage46topdown	104	0.5576923
posttriage47topdown	106	0.4811321
posttriage48topdown	109	0.706422
